,NumGlobalVars,GlobalVarUsage,TotalInsts,TotalBlocks,BlockLow,BlockMid,BlockHigh,TotalFuncs,TotalMemInst,BeginPhi,ArgsPhi,BBNoPhi,BB03Phi,BBHiPhi,BBNumArgsHi,BBNumArgsLo,testUnary,binaryConstArg,callLargeNumArgs,returnInt,oneSuccessor,twoSuccessor,moreSuccessors,onePred,twoPred,morePreds,onePredOneSuc,onePredTwoSuc,twoPredOneSuc,twoEach,moreEach,NumEdges,CriticalCount,BranchCount,numConstOnes,numConstZeroes,const32Bit,const64Bit,UncondBranches,NumLoadInst,NumCallInst,NumInvokeInst,NumAllocaInst,NumStoreInst,NumGetElementPtrInst,NumAShrInst,NumLShrInst,NumShlInst,NumAddInst,NumSubInst,NumMulInst,NumAndInst,NumOrInst,NumXorInst,NumBitCastInst,NumICmpInst,NumSExtInst,NumZExtInst,NumSelectInst
0,4927,5705,49677,2114,1799,299,16,100,31044,183,370,1931,183,0,0,183,24969,4619,0,580,1294,724,0,1331,625,47,1041,287,199,368,0,2742,390,2018,4504,6538,7397,7319,1294,13546,5181,0,1368,4274,6675,1257,469,1258,349,25,8,1315,114,136,789,1326,4087,3637,0
1,2553,5655,29893,1792,1558,225,9,100,20278,185,375,1607,185,0,0,185,15134,709,0,619,1065,631,0,1116,520,47,851,260,161,302,0,2327,349,1696,3587,4335,4496,4852,1065,8286,2994,0,1516,3534,3948,24,19,16,261,29,8,397,122,177,164,1229,2030,2626,0
2,2132,3439,28680,2005,1736,266,3,96,17469,150,302,1855,150,0,0,150,13031,2628,0,456,1232,681,0,1274,589,37,1004,265,186,348,0,2594,361,1913,4226,3454,3978,5062,1232,6723,2239,0,1285,3599,3623,535,380,528,310,29,8,884,79,129,426,1127,1841,1991,0
3,1857,2791,27891,1974,1700,270,4,101,16627,167,335,1807,167,0,0,167,12595,2794,0,524,1203,674,0,1239,583,39,965,272,187,335,0,2551,355,1877,3357,3935,5773,4619,1203,6435,2156,0,1330,3149,3557,832,297,777,295,30,8,592,113,133,498,1192,2199,1526,0
4,1066,2063,22819,1872,1613,258,1,101,14873,184,370,1688,184,0,0,184,9945,570,0,601,1121,654,0,1177,540,48,908,266,162,320,0,2429,355,1775,3614,3996,3396,5343,1121,4897,1545,0,1382,3466,3583,58,19,50,289,33,8,136,154,165,299,1288,1460,1401,0
5,2423,3950,34570,2163,1871,281,11,99,23693,188,377,1975,188,0,0,188,14520,1639,0,625,1329,739,0,1364,646,40,1070,287,204,384,0,2807,392,2068,5480,5476,5537,8390,1329,7753,2633,0,1591,5354,6362,323,155,315,335,23,8,504,131,163,359,1369,2232,2067,0
6,906,4097,28546,1953,1639,307,7,101,20053,226,458,1727,226,0,0,226,10524,481,0,777,1158,698,0,1207,574,52,914,291,183,333,0,2554,391,1856,5935,5170,3527,9402,1158,4924,1582,0,1741,5667,6139,24,19,16,266,32,8,173,165,197,316,1531,1057,1732,0
7,1617,3651,21902,1780,1552,226,2,100,14432,165,334,1615,165,0,0,165,10341,653,0,493,1068,616,0,1104,521,45,865,236,152,309,0,2300,347,1684,3002,3197,3331,4134,1068,5618,1932,0,1231,2826,2825,70,64,62,253,34,8,185,99,144,271,1090,1726,1015,0
8,3893,5193,39538,1971,1676,283,12,95,24844,153,309,1818,153,0,0,153,19718,3452,0,528,1212,668,0,1254,579,37,989,263,183,338,0,2548,349,1880,4269,5208,5593,6288,1212,10630,4041,0,1381,3687,5105,1089,286,1082,312,29,8,704,77,115,577,1137,3858,2063,0
9,2075,4129,38832,2234,1876,347,11,101,23817,230,464,2004,230,0,0,230,16839,3354,0,860,1360,777,0,1410,670,46,1097,309,212,399,0,2914,421,2137,5481,5449,3602,8899,1360,8081,2636,0,1635,5502,5963,1109,202,1104,336,36,8,569,167,229,483,1644,2592,1940,0
