,-no-flag,-adce,-always-inline,-argpromotion,-break-crit-edges,-codegenprepare,-constmerge,-dce,-deadargelim,-dse,-function-attrs,-globaldce,-globalopt,-gvn,-indvars,-inline,-instcombine,-aggressive-instcombine,-ipsccp,-jump-threading,-lcssa,-licm,-loop-deletion,-loop-extract,-loop-extract-single,-loop-reduce,-loop-rotate,-loop-simplify,-loop-unroll,-loop-unroll-and-jam,-loweratomic,-lowerinvoke,-lowerswitch,-mem2reg,-memcpyopt,-mergefunc,-mergereturn,-partial-inliner,-reassociate,-reg2mem,-sroa,-sccp,-simplifycfg,-sink,-strip,-strip-dead-debug-info,-strip-dead-prototypes,-strip-debug-declare,-strip-nondebug,-tailcallelim
csmith_01.bc,106072,106072,106072,106072,106072,106072,106008,106072,106072,106072,106072,106008,97240,106072,106072,106072,106072,106072,97648,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,106072,105728,106072,106072,106072,105728,106072
csmith_02.bc,35280,35280,35280,35280,35280,35280,35160,35280,35280,35280,35280,35160,32720,35280,35280,35280,35280,35280,34392,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35280,35648,35280,35280,35280,35648,35280
csmith_03.bc,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16552,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16888,16896,16888,16888,16888,16896,16888
csmith_04.bc,81472,81472,81472,81472,81472,81472,80984,81472,81472,81472,81472,80984,79624,81472,81472,81472,81472,81472,80744,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,81472,82168,81472,81472,81472,82168,81472
csmith_05.bc,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,101048,102104,102104,102104,102104,102104,101528,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,102104,103344,102104,102104,102104,103344,102104
csmith_06.bc,54080,54080,54080,54080,54080,54080,49808,54080,54080,54080,54080,49808,49824,54080,54080,54080,54080,54080,53632,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54080,54656,54080,54080,54080,54656,54080
csmith_07.bc,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80048,80584,80584,80584,80584,80584,80512,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80584,80304,80584,80584,80584,80304,80584
csmith_08.bc,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,32584,31664,31664,31664,31664,31664,31024,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,31664,32456,31664,31664,31664,32456,31664
csmith_09.bc,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16576,16616,16616,16616,16616,16616,16576,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16616,16648,16616,16616,16616,16648,16616
csmith_100.bc,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,28432,26696,26696,26696,26696,26696,25464,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,26696,27392,26696,26696,26696,27392,26696
