,-no-flag,-adce,-always-inline,-argpromotion,-break-crit-edges,-codegenprepare,-constmerge,-dce,-deadargelim,-dse,-function-attrs,-globaldce,-globalopt,-gvn,-indvars,-inline,-instcombine,-aggressive-instcombine,-ipsccp,-jump-threading,-lcssa,-licm,-loop-deletion,-loop-extract,-loop-extract-single,-loop-reduce,-loop-rotate,-loop-simplify,-loop-unroll,-loop-unroll-and-jam,-loweratomic,-lowerinvoke,-lowerswitch,-mem2reg,-memcpyopt,-mergefunc,-mergereturn,-partial-inliner,-reassociate,-reg2mem,-sroa,-sccp,-simplifycfg,-sink,-strip,-strip-dead-debug-info,-strip-dead-prototypes,-strip-debug-declare,-strip-nondebug,-tailcallelim
csmith_1,22824,22824,22808,22808,22808,22808,22808,22824,22808,22824,22808,22824,22824,22824,22824,22824,22808,22792,22696,22808,22824,22824,22808,22808,22792,22808,22808,22808,22808,22792,22808,22808,22808,22824,22824,22824,22808,22808,22808,22824,22824,22824,22808,22824,22824,22792,22792,22792,22808,22808
csmith_10,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18104,18152,18152,18152,18152,18152,18056,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152,18152
csmith_100,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_101,18472,18472,18456,18456,18440,18456,18456,18472,18456,18472,18456,18456,18264,18472,18472,18472,18456,18440,18152,18456,18472,18472,18456,18456,18440,18456,18456,18456,18456,18440,18456,18456,18456,18472,18456,18456,18456,18456,18456,18472,18472,18472,18456,18472,18472,18440,18440,18440,18456,18456
csmith_102,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30616,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664,30664
csmith_103,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_104,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,47976,48024,48024,48024,48024,48024,47848,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024,48024
csmith_105,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_106,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_107,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38616,38632,38632,38632,38632,38632,38472,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632,38632
csmith_108,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
