Reward,Memory (%),Speed (%)
19200,-0.8412,-1.0047
-1600,0.0876,-4.0903
-123200,4.7138,-0.2188
1600,-0.1467,-3.1517
8000,-0.3088,-0.9807
0,0.0,-1.2151
1600,-0.1203,-4.2531
1600,-0.1251,-2.8538
6400,-0.2675,-3.8566
17600,-0.4765,-1.5163
8000,-0.3488,-4.9175
12800,-1.3104,1.0312
17600,-0.739,0.6089
22400,-1.3759,1.4525
4800,-0.1565,-3.1656
43200,-1.3097,-2.2684
25600,-0.7268,-3.7977
0,0.0,-1.1442
19200,-0.846,-3.5532
1600,-0.0744,-2.5073
11200,-0.3596,-1.8088
12800,-0.5812,-5.6102
19200,-1.4643,-2.4642
11200,-0.2499,-3.0525
28800,-0.8244,0.3745
25600,-1.2673,-3.6764
12800,-0.2348,-1.3623
4800,-0.2805,-3.0478
8000,-0.3535,-2.4687
12800,-0.4744,-7.0308
-4800,0.248,-2.703
19200,-0.4256,-2.0034
4800,-0.2307,-2.1682
11200,-0.4213,-3.9997
14400,-0.7669,-2.1757
16000,-0.4389,-1.5838
6400,-0.8024,-4.4746
27200,-0.8291,-5.9594
12800,-0.4333,-1.9736
8000,-0.3522,0.8844
32000,-1.0222,-4.7713
19200,-0.5267,-4.7086
43200,-1.0759,-1.7345
9600,-0.4603,0.4934
17600,-0.742,-3.3338
12800,-0.3192,-4.0577
28800,-0.6204,-2.7586
6400,-0.2836,-1.9593
33600,-0.7947,-2.9327
6400,-0.3251,-8.5988
8000,-0.2853,-2.5991
25600,-0.5582,-3.1462
6400,-0.2728,-3.4313
6400,-0.4336,-1.7941
6400,-0.4432,-2.7609
12800,-0.625,-9.7713
6400,-0.3168,-2.6908
6400,-0.6038,-3.9945
9600,-0.4872,-4.0137
3200,-0.158,-5.1812
0,0.0,-4.3549
6400,-0.5743,-1.6002
-6400,0.4966,2.8284
6400,-0.4616,-4.2241
1600,-0.0867,-3.7464
11200,-0.5317,-5.0436
3200,-0.1775,-4.1793
