Reward,Memory (%),Speed (%)
0,0.0,-1.1558
0,0.0,-1.3913
1600,-0.0584,2.6124
0,0.0,-1.7604
3200,-0.1238,-10.7609
4800,-0.3373,-1.0546
0,0.0,-1.8248
0,0.0,-1.2758
0,0.0,-2.7753
0,0.0,-2.5835
0,0.0,-1.0961
6400,-0.6595,1.3333
0,0.0,-0.0902
1600,-0.0996,1.3335
0,0.0,-4.1623
0,0.0,-2.3772
0,0.0,-2.9615
0,0.0,-2.3707
0,0.0,-1.7207
0,0.0,-3.5148
1600,-0.0515,-1.4523
0,0.0,-4.1421
0,0.0,-0.6267
1600,-0.0358,-0.8214
3200,-0.0923,-0.0487
0,0.0,-0.7948
0,0.0,-2.6512
1600,-0.0937,-3.5214
0,0.0,-0.2715
0,0.0,-3.0208
0,0.0,-2.1797
0,0.0,-1.9401
0,0.0,-2.4141
1600,-0.0604,4.9364
0,0.0,-0.8241
0,0.0,-1.1383
0,0.0,-1.6475
0,0.0,-6.3018
0,0.0,2.619
6400,-0.282,-2.4332
4800,-0.1547,0.7972
0,0.0,-1.728
0,0.0,-5.2097
1600,-0.077,-0.7662
0,0.0,-1.4627
0,0.0,-3.5712
0,0.0,-6.4528
0,0.0,1.37
0,0.0,-1.1905
0,0.0,-0.568
0,0.0,-2.1204
12800,-0.2799,-6.9502
0,0.0,-0.908
0,0.0,-2.601
0,0.0,-2.388
0,0.0,-4.1886
0,0.0,0.1321
0,0.0,-2.4544
0,0.0,-1.5747
0,0.0,-2.5727
0,0.0,-2.1577
0,0.0,-0.975
1600,-0.1234,-1.9388
0,0.0,-0.1289
0,0.0,-0.1563
0,0.0,-2.1515
0,0.0,-0.5384
