Reward,Memory (%),Speed (%)
6400,-0.2804,-0.4548
1600,-0.0876,3.5112
1600,-0.0612,1.4679
1600,-0.1467,-2.8247
0,0.0,-1.9189
0,0.0,-2.8731
1600,-0.1203,-0.013
1600,-0.1251,-3.2607
6400,-0.2675,-0.7457
1600,-0.0433,-1.5625
1600,-0.0698,-3.2499
12800,-1.3104,-3.6336
17600,-0.739,-0.3216
22400,-1.3759,-1.8334
4800,-0.1565,-0.452
41600,-1.2612,0.6797
25600,-0.7268,-2.8185
6400,-0.2796,-1.4889
19200,-0.846,-3.3831
1600,-0.0744,-1.234
11200,-0.3596,-1.0286
12800,-0.5812,-1.4993
19200,-1.4643,-0.48
11200,-0.2499,0.0908
6400,-0.1832,-0.201
25600,-1.2673,-1.9251
12800,-0.2348,-5.4121
3200,-0.187,-0.3722
8000,-0.3535,1.0156
0,0.0,-1.148
1600,-0.0827,4.117
19200,-0.4256,0.2172
4800,-0.2307,-0.177
11200,-0.4213,-3.574
8000,-0.4261,-3.1506
16000,-0.4389,2.1886
6400,-0.8024,0.7851
27200,-0.8291,-0.994
0,0.0,-3.6233
-1600,0.0704,-5.709
28800,-0.92,-5.0854
25600,-0.7022,-2.0418
43200,-1.0759,-10.159
8000,-0.3836,-5.1557
17600,-0.742,-3.5456
12800,-0.3192,-1.5324
28800,-0.6204,-4.0148
6400,-0.2836,-2.3211
33600,-0.7947,-0.7538
6400,-0.3251,-1.4385
8000,-0.2853,-1.3494
12800,-0.2791,-0.8147
6400,-0.2728,-1.3324
6400,-0.4336,-3.0749
6400,-0.4432,-2.7734
12800,-0.625,-1.2779
6400,-0.3168,-2.755
6400,-0.6038,-1.4985
9600,-0.4872,-2.849
3200,-0.158,-5.052
0,0.0,-1.4853
6400,-0.5743,0.8517
3200,-0.2483,-0.6961
6400,-0.4616,-1.9412
1600,-0.0867,-1.6541
11200,-0.5317,-2.2022
3200,-0.1775,-1.2921
