Reward,Memory (%),Speed (%)
0,0.0,0.1974
1600,-0.0875,-1.2746
124800,-4.5574,-0.4809
0,0.0,-0.2655
1600,-0.0619,0.0795
4800,-0.3373,-1.4896
0,0.0,-1.7373
-1600,0.1252,-4.3214
0,0.0,-0.7288
-16000,0.4353,-1.834
-6400,0.28,2.269
0,0.0,-0.8109
0,0.0,-1.7193
1600,-0.0996,-0.8915
0,0.0,-2.5193
-1600,0.0492,2.1836
0,0.0,-3.2833
6400,-0.2796,-3.1964
-6400,0.2844,-2.3426
0,0.0,-0.555
1600,-0.0515,5.1135
0,0.0,-4.3103
0,0.0,-1.1114
1600,-0.0358,-3.0651
0,0.0,-0.6675
0,0.0,-0.6107
0,0.0,-1.4359
0,0.0,-2.4356
0,0.0,-0.6987
0,0.0,-1.8392
6400,-0.3299,2.5671
0,0.0,0.9898
0,0.0,-1.8216
1600,-0.0604,0.9916
-6400,0.3435,-4.5155
-12800,0.3527,-4.0345
0,0.0,-0.4645
0,0.0,-5.7046
6400,-0.2176,-2.676
1600,-0.0705,-1.1273
3200,-0.1031,-2.1613
0,0.0,0.7285
0,0.0,-1.2072
0,0.0,-1.7623
0,0.0,-1.0184
0,0.0,-5.537
0,0.0,-2.0327
0,0.0,-0.2846
0,0.0,-4.8088
0,0.0,1.2371
0,0.0,-2.7689
-6400,0.1399,-0.4661
0,0.0,-0.7555
0,0.0,0.0947
0,0.0,-1.3345
0,0.0,3.1404
0,0.0,-4.6257
0,0.0,1.2296
0,0.0,0.8943
0,0.0,0.6111
0,0.0,0.4007
0,0.0,-1.7038
8000,-0.6169,-2.8498
0,0.0,0.1576
0,0.0,0.204
0,0.0,-2.5272
0,0.0,-1.963
