Reward,Memory (%),Speed (%)
19200,-0.8412,-2.1212
0,0.0,-1.6441
1600,-0.0612,2.9447
1600,-0.1467,-4.9199
8000,-0.3088,-3.137
0,0.0,-2.9828
1600,-0.1203,0.6369
1600,-0.1251,-2.1401
6400,-0.2675,-1.2995
17600,-0.4765,-2.9449
8000,-0.3488,-3.7451
12800,-1.3104,-3.9672
17600,-0.739,-1.6855
22400,-1.3759,-2.3131
4800,-0.1565,-3.5901
43200,-1.3097,-4.9081
25600,-0.7268,-6.5712
6400,-0.2796,-2.3019
19200,-0.846,-4.0052
1600,-0.0744,-5.2466
11200,-0.3596,-3.7045
12800,-0.5812,-3.52
19200,-1.4643,-14.4109
11200,-0.2499,-4.8235
28800,-0.8244,2.8035
25600,-1.2673,-4.4424
12800,-0.2348,-3.4525
4800,-0.2805,4.3695
8000,-0.3535,-3.0098
12800,-0.4744,-6.0853
1600,-0.0827,-3.5009
19200,-0.4256,-3.1778
4800,-0.2307,-6.3817
11200,-0.4213,2.7467
14400,-0.7669,-5.6539
16000,-0.4389,-4.2844
6400,-0.8024,-1.8103
27200,-0.8291,-5.5532
19200,-0.6499,0.2973
8000,-0.3522,-4.5921
32000,-1.0222,1.7314
19200,-0.5267,-4.8996
43200,-1.0759,-2.9716
9600,-0.4603,2.3139
17600,-0.742,-2.6889
12800,-0.3192,0.1387
28800,-0.6204,-4.2354
6400,-0.2836,-4.544
33600,-0.7947,-2.3914
6400,-0.3251,-9.2217
8000,-0.2853,-5.4804
25600,-0.5582,-0.8282
6400,-0.2728,-1.9354
8000,-0.542,-3.8022
6400,-0.4432,-4.2638
12800,-0.625,-6.4135
6400,-0.3168,-3.992
6400,-0.6038,-1.7548
9600,-0.4872,-3.0505
3200,-0.158,-4.5386
0,0.0,-4.5145
6400,-0.5743,-2.0392
1600,-0.1241,-3.5083
6400,-0.4616,-3.1348
1600,-0.0867,-7.1405
11200,-0.5317,-4.5918
3200,-0.1775,-3.346
