Reward,Memory (%),Speed (%)
0,0.0,-0.9541
3200,-0.1751,-3.0727
124800,-4.5574,1.5556
0,0.0,-0.9107
3200,-0.1238,-4.2647
4800,-0.3373,-2.4889
0,0.0,-0.8603
1600,-0.1252,-0.297
0,0.0,-2.2689
0,0.0,-2.4383
0,0.0,-2.3424
6400,-0.6595,-4.1763
0,0.0,-3.7081
1600,-0.0996,-1.7231
0,0.0,-4.1683
0,0.0,-2.6625
1600,-0.0458,1.3905
6400,-0.2796,-1.7467
0,0.0,-1.4828
0,0.0,-4.8695
1600,-0.0515,-1.0996
0,0.0,-5.6972
0,0.0,-2.5501
1600,-0.0358,-4.9221
4800,-0.1384,-1.97
0,0.0,-3.5522
0,0.0,-4.371
1600,-0.0937,-1.8793
0,0.0,-1.7135
0,0.0,-2.0289
4800,-0.2474,-2.786
0,0.0,-3.6923
0,0.0,-5.3751
1600,-0.0604,-1.2306
0,0.0,-1.9418
0,0.0,-5.2639
0,0.0,-6.7877
0,0.0,-0.0501
6400,-0.2176,-1.7583
6400,-0.282,-0.955
4800,-0.1547,-3.63
0,0.0,-2.0889
0,0.0,-6.1145
1600,-0.077,1.2782
1600,-0.068,0.9174
6400,-0.1601,3.0739
0,0.0,-2.48
0,0.0,-1.8826
0,0.0,-0.1072
0,0.0,-4.5258
0,0.0,-5.9791
12800,-0.2799,-4.0867
0,0.0,-3.2033
0,0.0,-2.9235
0,0.0,-6.2885
0,0.0,-3.6091
0,0.0,-3.6001
0,0.0,-3.4041
0,0.0,-1.368
0,0.0,-2.2779
0,0.0,-3.7591
0,0.0,-2.0314
8000,-0.6169,1.1612
0,0.0,-4.16
0,0.0,-6.6859
0,0.0,-3.5165
0,0.0,-1.4387
