Reward,Memory (%),Speed (%)
0,0.0,2.5495
0,0.0,-2.3661
1600,-0.0584,-8.8375
0,0.0,0.9198
3200,-0.1238,-2.4452
0,0.0,-0.7421
0,0.0,-3.5637
0,0.0,-1.0927
0,0.0,-0.7912
0,0.0,2.1348
0,0.0,-0.0848
6400,-0.6595,1.7727
0,0.0,-0.3851
1600,-0.0996,0.0672
0,0.0,1.8818
0,0.0,5.5224
0,0.0,-5.0236
0,0.0,3.2517
0,0.0,-0.5492
0,0.0,-0.6501
1600,-0.0515,0.7841
0,0.0,2.9878
0,0.0,0.8612
3200,-0.0716,1.1324
4800,-0.1384,-3.3443
0,0.0,-0.9441
-12800,0.2353,0.8424
3200,-0.1874,0.6927
0,0.0,-1.6741
0,0.0,1.7512
0,0.0,4.0593
0,0.0,0.6544
0,0.0,1.1989
1600,-0.0604,5.8523
0,0.0,-1.4567
0,0.0,3.0434
0,0.0,-1.4069
0,0.0,4.1764
0,0.0,0.4491
1600,-0.0705,-1.4679
3200,-0.1031,0.3855
0,0.0,1.1856
0,0.0,1.1308
1600,-0.077,0.4705
0,0.0,1.3882
6400,-0.1601,1.5367
0,0.0,1.3863
0,0.0,-1.4603
0,0.0,-2.3126
0,0.0,-4.9239
0,0.0,-1.9813
0,0.0,-1.1877
0,0.0,1.157
0,0.0,2.7177
0,0.0,0.0674
0,0.0,0.5237
0,0.0,-3.158
0,0.0,-1.3749
0,0.0,0.7722
0,0.0,-2.2954
0,0.0,-1.0903
0,0.0,-0.5039
1600,-0.1234,-1.6492
0,0.0,2.0029
0,0.0,0.0555
0,0.0,1.1419
0,0.0,1.0354
