Reward,Memory (%),Speed (%)
0,0.0,-2.2039
3200,-0.1751,0.7315
124800,-4.5574,2.8205
0,0.0,-0.9967
3200,-0.1238,0.7615
4800,-0.3373,-2.8452
0,0.0,-3.1236
0,0.0,-2.8324
0,0.0,0.3836
0,0.0,1.053
0,0.0,-0.2144
0,0.0,-1.0241
0,0.0,0.5817
1600,-0.0996,1.6819
0,0.0,-0.8494
0,0.0,-2.9961
0,0.0,-1.8047
0,0.0,-3.6441
0,0.0,-0.0135
0,0.0,-4.3979
1600,-0.0515,-0.5442
0,0.0,-0.2174
0,0.0,-3.7435
3200,-0.0716,0.2538
4800,-0.1384,-1.8462
1600,-0.0802,0.8419
0,0.0,1.451
3200,-0.1874,-0.7255
0,0.0,-1.3655
0,0.0,-2.441
6400,-0.3299,-0.9053
0,0.0,-3.3758
0,0.0,4.6852
1600,-0.0604,0.5949
0,0.0,-2.3126
0,0.0,4.6412
-1600,0.201,-0.4531
0,0.0,3.5096
11200,-0.3801,-0.7418
6400,-0.282,1.3015
4800,-0.1547,-2.65
1600,-0.0441,-0.7693
0,0.0,-3.2294
1600,-0.077,-1.0456
1600,-0.068,3.0722
0,0.0,-0.7302
0,0.0,1.1267
1600,-0.0711,-2.1753
0,0.0,-0.3784
0,0.0,2.9887
0,0.0,-2.1619
14400,-0.3149,-1.0574
0,0.0,-0.476
0,0.0,-0.9654
1600,-0.1113,1.617
0,0.0,-1.6563
0,0.0,-1.9687
4800,-0.4535,-1.1375
0,0.0,-1.7639
0,0.0,-1.5545
0,0.0,0.3427
0,0.0,0.22
9600,-0.7403,0.9289
1600,-0.1159,1.2714
0,0.0,0.2855
0,0.0,-4.1981
0,0.0,-5.0604
