Reward,Memory (%),Speed (%)
19200,-0.8412,-1.361
-1600,0.0876,0.0376
-123200,4.7138,-1.602
1600,-0.1467,-2.1641
8000,-0.3088,-2.9898
-4800,0.3384,-1.8012
1600,-0.1203,-3.7897
1600,-0.1251,1.7332
6400,-0.2675,0.325
17600,-0.4765,0.1397
8000,-0.3488,0.3701
12800,-1.3104,-1.4497
17600,-0.739,-1.8603
22400,-1.3759,0.5574
4800,-0.1565,-4.1794
43200,-1.3097,-0.0249
25600,-0.7268,-2.1318
0,0.0,-2.3819
19200,-0.846,1.1375
1600,-0.0744,-6.4823
11200,-0.3596,0.2119
12800,-0.5812,-1.8563
19200,-1.4643,-3.0492
12800,-0.2856,0.193
28800,-0.8244,1.1215
25600,-1.2673,-4.962
12800,-0.2348,1.729
4800,-0.2805,-1.6615
8000,-0.3535,-0.2872
12800,-0.4744,1.1438
-4800,0.248,-3.816
19200,-0.4256,0.7669
4800,-0.2307,-1.6754
11200,-0.4213,-7.4292
14400,-0.7669,-6.3693
16000,-0.4389,0.8504
6400,-0.8024,-0.9003
27200,-0.8291,-1.2971
12800,-0.4333,-2.5343
3200,-0.1409,4.0167
32000,-1.0222,-0.3041
19200,-0.5267,3.5556
43200,-1.0759,-0.968
9600,-0.4603,-2.7598
17600,-0.742,-0.4692
12800,-0.3192,1.4602
28800,-0.6204,7.0983
6400,-0.2836,-3.5921
33600,-0.7947,-0.5718
6400,-0.3251,-4.4904
8000,-0.2853,1.1703
12800,-0.2791,1.6921
6400,-0.2728,1.5219
6400,-0.4336,-4.6893
6400,-0.4432,-1.7158
12800,-0.625,-3.7368
6400,-0.3168,1.6002
6400,-0.6038,0.8287
9600,-0.4872,-2.9295
3200,-0.158,-0.5715
0,0.0,1.2602
6400,-0.5743,0.6792
-6400,0.4966,-2.9815
6400,-0.4616,-0.6133
1600,-0.0867,-1.0177
11200,-0.5317,2.5927
3200,-0.1775,1.852
