Reward,Memory (%),Speed (%)
19200,-0.8412,0.0941
-1600,0.0876,2.1553
-126400,4.8362,1.0659
1600,-0.1467,-0.9492
0,0.0,2.3317
0,0.0,2.0297
1600,-0.1203,-2.0138
1600,-0.1251,-1.173
-12800,0.5349,-0.162
17600,-0.4765,-0.679
8000,-0.3488,-1.575
6400,-0.6552,0.5598
17600,-0.739,1.0098
20800,-1.2776,1.1555
4800,-0.1565,-1.892
43200,-1.3097,4.2271
25600,-0.7268,-3.7537
0,0.0,-4.6458
19200,-0.846,-1.5362
1600,-0.0744,2.0896
11200,-0.3596,2.5745
12800,-0.5812,2.381
19200,-1.4643,-0.9138
12800,-0.2856,0.2675
30400,-0.8702,-0.3434
25600,-1.2673,-2.2326
12800,-0.2348,0.3135
3200,-0.187,-0.8701
8000,-0.3535,0.5837
12800,-0.4744,-0.5919
-4800,0.248,-0.4375
19200,-0.4256,-2.637
4800,-0.2307,-1.6574
11200,-0.4213,-4.5133
14400,-0.7669,2.8255
16000,-0.4389,-0.0302
6400,-0.8024,-3.1977
27200,-0.8291,-0.1464
12800,-0.4333,0.014
3200,-0.1409,-1.8107
30400,-0.9711,-3.1743
19200,-0.5267,1.8263
43200,-1.0759,-1.9937
8000,-0.3836,-1.8803
17600,-0.742,0.6246
12800,-0.3192,-2.8536
28800,-0.6204,1.9639
6400,-0.2836,-4.1989
33600,-0.7947,1.0178
6400,-0.3251,1.0044
8000,-0.2853,-0.8805
12800,-0.2791,-2.4793
6400,-0.2728,-1.3711
6400,-0.4336,-1.588
6400,-0.4432,-0.8917
12800,-0.625,0.9339
6400,-0.3168,1.1064
6400,-0.6038,0.4656
11200,-0.5684,-2.5314
3200,-0.158,-0.4666
0,0.0,0.0057
6400,-0.5743,2.2427
-8000,0.6207,-2.5929
6400,-0.4616,-0.4539
1600,-0.0867,-2.2768
11200,-0.5317,-3.1658
3200,-0.1775,-1.6425
