Reward,Memory (%),Speed (%)
0,0.0,-0.4192
0,0.0,-1.2804
1600,-0.0584,-0.4252
0,0.0,3.4537
1600,-0.0619,-1.7596
0,0.0,1.6827
0,0.0,1.0359
-1600,0.1252,1.0082
0,0.0,1.5127
0,0.0,0.4994
0,0.0,-0.746
0,0.0,-0.3003
0,0.0,4.2524
0,0.0,-0.6051
0,0.0,0.4811
0,0.0,1.9372
0,0.0,-1.8984
0,0.0,2.6298
0,0.0,-0.0563
0,0.0,1.7425
1600,-0.0515,0.2398
0,0.0,-0.9222
0,0.0,1.5376
1600,-0.0358,-2.4795
0,0.0,-0.3606
0,0.0,-0.3046
0,0.0,-2.3718
0,0.0,-1.5367
0,0.0,-3.1998
0,0.0,-0.9519
0,0.0,0.4682
0,0.0,-1.6175
0,0.0,1.3748
0,0.0,4.4409
0,0.0,1.8817
0,0.0,-0.3672
0,0.0,7.1829
0,0.0,0.1603
0,0.0,1.6526
1600,-0.0705,-1.8253
3200,-0.1031,2.0914
0,0.0,0.5123
0,0.0,-1.4314
1600,-0.077,-0.0006
0,0.0,-4.1628
6400,-0.1601,0.8516
0,0.0,-1.4855
0,0.0,-0.0443
0,0.0,-0.9552
0,0.0,7.6057
0,0.0,1.6947
0,0.0,-0.8016
0,0.0,-2.4463
0,0.0,-2.4403
0,0.0,2.5493
0,0.0,1.3202
0,0.0,0.5826
0,0.0,-0.3322
0,0.0,-0.201
0,0.0,-0.8251
0,0.0,0.0448
0,0.0,2.3836
0,0.0,1.8293
0,0.0,-3.0837
0,0.0,-0.8148
0,0.0,-1.2795
0,0.0,-1.9815
