Reward,Memory (%),Speed (%)
19200,-0.8412,-2.1551
-1600,0.0876,-1.5073
-123200,4.7138,-2.2914
1600,-0.1467,-2.8749
8000,-0.3088,1.0254
0,0.0,-0.3564
1600,-0.1203,-2.3929
1600,-0.1251,-2.4013
6400,-0.2675,-3.0082
17600,-0.4765,-1.5651
8000,-0.3488,-3.6561
12800,-1.3104,-2.864
17600,-0.739,-1.9099
22400,-1.3759,-0.4217
4800,-0.1565,-2.6368
43200,-1.3097,-0.9296
25600,-0.7268,-2.4821
0,0.0,-4.1212
19200,-0.846,-2.3482
1600,-0.0744,-1.1675
12800,-0.411,3.014
12800,-0.5812,-7.2534
19200,-1.4643,-3.3406
12800,-0.2856,0.0744
30400,-0.8702,0.6036
25600,-1.2673,-2.5608
14400,-0.2641,3.9626
4800,-0.2805,-0.8034
8000,-0.3535,-2.8408
12800,-0.4744,-4.8635
-4800,0.248,-2.9226
19200,-0.4256,-1.5765
4800,-0.2307,-3.4617
11200,-0.4213,-3.3966
14400,-0.7669,-5.0676
16000,-0.4389,-4.3307
6400,-0.8024,-1.5081
27200,-0.8291,-6.0908
12800,-0.4333,-2.4712
8000,-0.3522,0.9947
32000,-1.0222,-1.5127
19200,-0.5267,-2.1807
43200,-1.0759,-4.6095
9600,-0.4603,-1.5824
17600,-0.742,-6.0452
19200,-0.4788,-1.0629
28800,-0.6204,-1.4026
6400,-0.2836,-3.301
33600,-0.7947,-3.3951
6400,-0.3251,-8.3125
8000,-0.2853,-4.8651
25600,-0.5582,-3.0831
6400,-0.2728,-2.4175
6400,-0.4336,-2.2458
6400,-0.4432,-2.2321
12800,-0.625,-2.1471
6400,-0.3168,-1.484
6400,-0.6038,-3.6394
11200,-0.5684,-4.65
3200,-0.158,-0.3704
0,0.0,-2.8255
6400,-0.5743,-1.8522
-6400,0.4966,-0.5449
6400,-0.4616,-0.9287
1600,-0.0867,-6.0801
11200,-0.5317,-1.942
3200,-0.1775,-2.1754
