Reward,Memory (%),Speed (%)
0,0.0,-0.9114
0,0.0,-1.4897
1600,-0.0584,2.019
0,0.0,-1.4603
3200,-0.1238,-1.0184
4800,-0.3373,-0.3869
0,0.0,-2.8237
0,0.0,1.1566
0,0.0,1.9201
0,0.0,1.6457
0,0.0,-0.44
6400,-0.6595,-1.4132
0,0.0,-0.9109
1600,-0.0996,-0.513
0,0.0,-4.0656
0,0.0,-5.521
0,0.0,-2.6153
0,0.0,-0.1044
0,0.0,2.0902
0,0.0,-2.4017
3200,-0.1031,-5.5674
0,0.0,-2.1649
0,0.0,-2.5398
3200,-0.0716,0.104
3200,-0.0923,-1.0151
0,0.0,0.0187
0,0.0,-2.8436
3200,-0.1874,0.7523
0,0.0,-0.7115
0,0.0,-5.2574
0,0.0,-0.7686
3200,-0.0712,2.8292
0,0.0,-4.2221
1600,-0.0604,-2.88
0,0.0,-2.8768
0,0.0,-2.0733
0,0.0,-1.1322
0,0.0,-0.8768
0,0.0,-3.1751
1600,-0.0705,-0.7204
4800,-0.1547,-0.5318
0,0.0,-1.0838
0,0.0,-2.1155
1600,-0.077,0.1754
0,0.0,-3.8185
0,0.0,-3.7363
0,0.0,3.2359
0,0.0,-1.7242
0,0.0,-2.0343
0,0.0,-7.6858
0,0.0,-6.6904
12800,-0.2799,5.6378
0,0.0,-0.4923
0,0.0,-2.9941
0,0.0,-1.9195
0,0.0,-0.0509
0,0.0,0.1828
0,0.0,-10.0487
0,0.0,-0.7912
0,0.0,-2.9754
0,0.0,-1.6138
0,0.0,-2.3921
1600,-0.1234,-3.4465
0,0.0,0.482
0,0.0,-0.0631
0,0.0,-4.5933
0,0.0,-0.3553
