Reward,Memory (%),Speed (%)
20800,-0.9113,0.8777
-1600,0.0876,1.7618
-123200,4.7138,-0.5417
1600,-0.1467,-0.5131
8000,-0.3088,-1.8661
-4800,0.3384,-0.4233
1600,-0.1203,-0.5707
1600,-0.1251,-0.6313
0,0.0,-0.7536
17600,-0.4765,-1.6562
8000,-0.3488,-1.7017
12800,-1.3104,-3.4384
17600,-0.739,-1.7348
20800,-1.2776,-0.9596
4800,-0.1565,-1.1025
44800,-1.3582,-1.4606
25600,-0.7268,0.1164
0,0.0,-0.5031
14400,-0.6345,-1.9538
1600,-0.0744,-2.0533
11200,-0.3596,1.1689
12800,-0.5812,-1.8504
19200,-1.4643,1.4545
12800,-0.2856,-2.0533
28800,-0.8244,1.3221
27200,-1.3465,-0.3297
12800,-0.2348,4.8263
6400,-0.374,3.9214
8000,-0.3535,-3.7394
12800,-0.4744,1.319
-4800,0.248,0.0636
22400,-0.4965,-2.9212
4800,-0.2307,-8.965
11200,-0.4213,-0.5078
14400,-0.7669,1.2364
16000,-0.4389,0.9713
6400,-0.8024,4.7817
27200,-0.8291,-0.2288
11200,-0.3793,-1.6356
3200,-0.1409,-0.4725
30400,-0.9711,-3.3736
19200,-0.5267,-1.7912
43200,-1.0759,-1.9827
8000,-0.3836,-4.9211
17600,-0.742,-2.3938
12800,-0.3192,5.2358
28800,-0.6204,1.6427
8000,-0.3545,-1.0003
33600,-0.7947,0.4028
6400,-0.3251,-7.8958
8000,-0.2853,-2.2669
24000,-0.5235,3.8172
6400,-0.2728,0.564
6400,-0.4336,-1.6572
6400,-0.4432,0.3788
12800,-0.625,-4.2763
6400,-0.3168,-2.3076
6400,-0.6038,-0.6673
9600,-0.4872,-2.197
3200,-0.158,3.2001
0,0.0,0.3258
6400,-0.5743,-0.5135
-6400,0.4966,-1.8953
8000,-0.577,0.9071
1600,-0.0867,-3.2153
11200,-0.5317,0.3979
3200,-0.1775,-0.2076
