Reward,Memory (%),Speed (%)
0,0.0,0.831
0,0.0,0.147
1600,-0.0584,-0.9561
0,0.0,-1.162
3200,-0.1238,-1.3755
4800,-0.3373,-1.3803
0,0.0,-1.2403
0,0.0,0.9151
-6400,0.2682,0.0026
-17600,0.4788,1.0186
0,0.0,-1.6172
6400,-0.6595,0.6423
0,0.0,-5.2417
1600,-0.0996,1.2659
0,0.0,1.2956
0,0.0,0.9177
1600,-0.0458,-2.6317
-1600,0.07,2.223
0,0.0,-1.484
0,0.0,4.8049
3200,-0.1031,-2.4637
0,0.0,-1.6254
0,0.0,2.495
3200,-0.0716,-0.7682
-19200,0.5536,2.6598
0,0.0,-0.6495
0,0.0,0.6
0,0.0,2.4872
0,0.0,0.449
0,0.0,-4.7092
0,0.0,1.1901
0,0.0,0.3458
0,0.0,1.3244
1600,-0.0604,-0.9002
0,0.0,-0.8654
0,0.0,-3.9473
0,0.0,1.0063
0,0.0,1.4472
-4800,0.1632,0.2897
6400,-0.282,2.9666
4800,-0.1547,-1.0167
0,0.0,1.4187
0,0.0,0.2584
1600,-0.077,-0.5502
0,0.0,4.5285
0,0.0,2.472
0,0.0,1.3189
1600,-0.0711,1.8944
0,0.0,0.8525
1600,-0.0815,-0.7896
0,0.0,0.3826
0,0.0,4.428
-1600,0.0684,5.1747
1600,-0.1089,-0.4366
0,0.0,1.2648
0,0.0,2.2269
4800,-0.2378,-0.2766
0,0.0,-0.7533
0,0.0,-0.3896
0,0.0,0.3486
0,0.0,-1.2552
0,0.0,0.8585
1600,-0.1234,-0.5705
0,0.0,0.3802
0,0.0,3.1656
0,0.0,-1.2253
0,0.0,1.0825
